Index,DateTime,Measurement,Unit
1,49:21.862,18.0905198,VDC
2,49:22.362,18.0894624,VDC
3,49:22.862,18.0884317,VDC
4,49:23.362,18.0871726,VDC
5,49:23.862,18.0847344,VDC
6,49:24.362,18.0804331,VDC
7,49:24.862,18.0744567,VDC
8,49:25.362,18.0668818,VDC
9,49:25.862,18.055903,VDC
10,49:26.362,17.9052,VDC
11,49:26.862,18.0489939,VDC
12,49:27.362,18.0437015,VDC
13,49:27.862,17.8599169,VDC
14,49:28.362,18.0316066,VDC
15,49:28.862,18.0633617,VDC
16,49:29.362,13.8843457,VDC
17,49:29.862,14.3929371941176,VDC
18,49:30.362,14.7683653294118,VDC
19,49:30.862,15.0091044411765,VDC
20,49:31.362,15.1089056294118,VDC
21,49:31.862,15.1224706176471,VDC
22,49:32.362,15.1457176529412,VDC
23,49:32.862,15.1771737176471,VDC
24,49:33.362,15.1895030882353,VDC
25,49:33.862,15.1871551235294,VDC
26,49:34.362,15.2087349705882,VDC
27,49:34.862,15.2312408470588,VDC
28,49:35.362,15.2878339705882,VDC
29,49:35.862,15.3035612352941,VDC
30,49:36.362,15.3035863529412,VDC
31,49:36.862,15.2679935294118,VDC
32,49:37.362,15.1895956117647,VDC
33,49:37.862,15.1046045,VDC
34,49:38.362,17.8645941,VDC
35,49:38.862,18.0340722,VDC
36,49:39.362,18.1170355,VDC
37,49:39.862,18.1098662,VDC
38,49:40.362,18.1134408,VDC
39,49:40.862,18.1382845,VDC
40,49:41.362,18.1356609,VDC
41,49:41.862,18.0313267,VDC
42,49:42.362,18.0842295,VDC
43,49:42.862,18.1187184,VDC
44,49:43.362,18.0775411,VDC
45,49:43.862,18.0218958,VDC
46,49:44.362,18.1051998,VDC
47,49:44.862,18.1121141,VDC
48,49:45.362,18.1099215,VDC
49,49:45.862,18.1080147,VDC
50,49:46.362,18.1057835,VDC
51,49:46.862,18.0450465,VDC
52,49:47.362,18.1141042,VDC
53,49:47.862,18.1176383,VDC
54,49:48.362,18.1167281,VDC
55,49:48.862,18.115374,VDC
56,49:49.362,18.1141117,VDC
57,49:49.862,18.1126862,VDC
58,49:50.362,18.1119371,VDC
59,49:50.862,18.1108253,VDC
60,49:51.362,18.1097881,VDC
61,49:51.862,18.1087787,VDC
62,49:52.362,18.1078066,VDC
63,49:52.862,18.1068997,VDC
64,49:53.362,18.1060674,VDC
65,49:53.862,18.1052447,VDC
66,49:54.362,18.1044263,VDC
67,49:54.862,18.1033443,VDC
