Index,DateTime,Measurement,Unit
1,49:24.416,18.0463017,VDC
2,49:24.916,18.0455345,VDC
3,49:25.416,18.0431935,VDC
4,49:25.916,18.0007903,VDC
5,49:26.416,18.0570223,VDC
6,49:26.916,18.0561355,VDC
7,49:27.416,18.0488541,VDC
8,49:27.916,18.0261466,VDC
9,49:28.416,18.0469827,VDC
10,49:28.916,17.9808847,VDC
11,49:29.416,18.0488616,VDC
12,49:29.916,18.0453352,VDC
13,49:30.416,17.8952116,VDC
14,49:30.916,14.0368265,VDC
15,49:31.416,13.6627903368421,VDC
16,49:31.916,14.2106353842105,VDC
17,49:32.416,14.3774493947368,VDC
18,49:32.916,14.4746695210526,VDC
19,49:33.416,14.4945970210526,VDC
20,49:33.916,14.5040149473684,VDC
21,49:34.416,14.4787335263158,VDC
22,49:34.916,14.4531265105263,VDC
23,49:35.416,14.4565371473684,VDC
24,49:35.916,14.4646086578947,VDC
25,49:36.416,14.4813992473684,VDC
26,49:36.916,14.5085223052632,VDC
27,49:37.416,14.5403686105263,VDC
28,49:37.916,14.5572382052632,VDC
29,49:38.416,14.5650815,VDC
30,49:38.916,14.5600136105263,VDC
31,49:39.416,14.5626733,VDC
32,49:39.916,14.4761677631579,VDC
33,49:40.416,14.3643147,VDC
34,49:40.916,17.8195628,VDC
35,49:41.416,18.0465834,VDC
36,49:41.916,18.0949597,VDC
37,49:42.416,18.0619986,VDC
38,49:42.916,17.9575609,VDC
39,49:43.416,18.1136073,VDC
40,49:43.916,18.1208417,VDC
41,49:44.416,18.0763139,VDC
42,49:44.916,18.081982,VDC
43,49:45.416,18.1095621,VDC
44,49:45.916,18.1037745,VDC
45,49:46.416,18.0945744,VDC
46,49:46.916,18.0853907,VDC
47,49:47.416,18.0789319,VDC
48,49:47.916,18.0722287,VDC
49,49:48.416,18.0650326,VDC
50,49:48.916,18.0589132,VDC
51,49:49.416,18.0045698,VDC
52,49:49.916,18.0645355,VDC
53,49:50.416,18.0667719,VDC
54,49:50.916,18.0328248,VDC
55,49:51.416,18.0765299,VDC
56,49:51.916,18.0779812,VDC
57,49:52.416,18.0759995,VDC
58,49:52.916,18.0730205,VDC
59,49:53.416,18.070547,VDC
60,49:53.916,18.0687758,VDC
61,49:54.416,18.0666161,VDC
62,49:54.916,18.0648491,VDC
63,49:55.416,18.0630789,VDC
64,49:55.916,18.061855,VDC
65,49:56.416,18.0604732,VDC
66,49:56.916,18.0592888,VDC
67,49:57.416,18.0592696,VDC
68,49:57.916,18.0583754,VDC
69,49:58.416,18.0576125,VDC
70,49:58.916,18.0566244,VDC
71,49:59.416,18.0558273,VDC
72,49:59.916,18.0554816,VDC
