Index,DateTime,Measurement,Unit
1,22:32.727,18.0297000833333,VDC
2,22:33.227,14.7934925833333,VDC
3,22:33.728,14.9720622407407,VDC
4,22:34.228,15.2673379166667,VDC
5,22:34.727,15.3539563472222,VDC
6,22:35.228,15.36570725,VDC
7,22:35.728,15.3479614907407,VDC
8,22:36.227,15.3343730277778,VDC
9,22:36.727,15.3271304027778,VDC
10,22:37.228,15.3112145740741,VDC
11,22:37.728,15.3047940416667,VDC
12,22:38.227,15.3109424166667,VDC
13,22:38.727,15.3154937685185,VDC
14,22:39.228,15.3360714166667,VDC
15,22:39.728,15.3727018240741,VDC
16,22:40.227,15.3684410833333,VDC
17,22:40.728,15.3729425277778,VDC
18,22:41.228,15.4122751018519,VDC
19,22:41.727,15.3170998888889,VDC
20,22:42.227,15.0341240833333,VDC
